epoch,loss,accuracy,test_loss,test_accuracy
0,2.1804308369755745,0.0,1.8856172859668732,0.0
1,1.2486314326524734,0.0,1.4392595291137695,0.0
2,0.7580176945775747,0.0,1.1351822018623352,0.0
3,0.44532865285873413,0.0,0.9679406732320786,0.0
4,0.2603382314555347,0.0,0.8176449984312057,0.0
5,0.16635161312296987,0.0,0.7619156688451767,0.0
6,0.11903909756802022,0.0,0.7428533434867859,0.0
7,0.10909485188312829,0.0,0.6801934391260147,0.0
8,0.07894060900434852,0.0,0.7234993278980255,0.0
9,0.07332982355728745,0.0,0.6486789584159851,0.0
10,0.08365105232223868,0.0,0.6826371029019356,0.0
11,0.0705138121265918,0.0,0.6512847989797592,0.0
12,0.07520948082674295,0.0,0.6707441359758377,0.0
13,0.0621321463258937,0.0,0.6329183131456375,0.0
14,0.07612267159856856,0.0,0.6191474497318268,0.0
15,0.07780923042446375,0.0,0.6520158350467682,0.0
16,0.05142735072877258,0.0,0.6097728386521339,0.0
17,0.06662531767506152,0.0,0.6352171525359154,0.0
18,0.06892815779428929,0.0,0.6031433120369911,0.0
19,0.06056537129916251,0.0,0.6048141717910767,0.0
20,0.06663865619339049,0.0,0.5582975298166275,0.0
21,0.07241706212516874,0.0,0.5819726884365082,0.0
22,0.05164193001110107,0.0,0.5809396952390671,0.0
23,0.05588894023094326,0.0,0.6147937253117561,0.0
24,0.05693057889584452,0.0,0.5880075246095657,0.0
25,0.06671501032542437,0.0,0.55901949852705,0.0
26,0.07182370813097805,0.0,0.5761855468153954,0.0
27,0.06107592664193362,0.0,0.6066756099462509,0.0
28,0.05498385883402079,0.0,0.5970155745744705,0.0
29,0.04371522483415902,0.0,0.586640790104866,0.0
30,0.05661841714754701,0.0,0.5686553046107292,0.0
31,0.06287475256249309,0.0,0.5457145869731903,0.0
32,0.046395427198149264,0.0,0.5844421088695526,0.0
33,0.05220148351509124,0.0,0.5287963226437569,0.0
34,0.0828896570019424,0.0,0.5798076763749123,0.0
35,0.05600492225494236,0.0,0.5615612715482712,0.0
36,0.043778514373116195,0.0,0.5485189333558083,0.0
37,0.06650997814722359,0.0,0.5421106144785881,0.0
38,0.05634998995810747,0.0,0.5330944582819939,0.0
39,0.05114065099041909,0.0,0.5622419118881226,0.0
40,0.05132345005404204,0.0,0.5409121811389923,0.0
41,0.041883455123752356,0.0,0.5219336748123169,0.0
42,0.044905793271027505,0.0,0.5383496955037117,0.0
43,0.04483859799802303,0.0,0.5310873761773109,0.0
44,0.042354619363322854,0.0,0.5242788642644882,0.0
45,0.044616165570914745,0.0,0.5548178032040596,0.0
46,0.041743331239558756,0.0,0.5217455103993416,0.0
47,0.05106476286891848,0.0,0.5036709979176521,0.0
48,0.03469379839953035,0.0,0.5047937035560608,0.0
49,0.043837207136675715,0.0,0.4873611852526665,0.0
50,0.042940085753798485,0.0,0.5043419450521469,0.0
51,0.04946838947944343,0.0,0.4947594553232193,0.0
52,0.0372264739125967,0.0,0.4949585795402527,0.0
53,0.048534292029216886,0.0,0.494386687874794,0.0
54,0.06195006228517741,0.0,0.47845853865146637,0.0
55,0.04141647304641083,0.0,0.48285040259361267,0.0
56,0.04499176878016442,0.0,0.49983493238687515,0.0
57,0.03993745968909934,0.0,0.49186471104621887,0.0
58,0.04950487497262657,0.0,0.4712003096938133,0.0
59,0.044019791297614574,0.0,0.49313031882047653,0.0
60,0.042710750247351825,0.0,0.49798815697431564,0.0
61,0.04952554148621857,0.0,0.4758296385407448,0.0
62,0.04507355025270954,0.0,0.4891129359602928,0.0
63,0.03139825304970145,0.0,0.4862532913684845,0.0
64,0.04377113614464179,0.0,0.4655510112643242,0.0
65,0.05478929087985307,0.0,0.48560094833374023,0.0
66,0.05248384003061801,0.0,0.4718126505613327,0.0
67,0.047856143151875585,0.0,0.4772908240556717,0.0
68,0.032818363804835826,0.0,0.48235851526260376,0.0
69,0.04548751702532172,0.0,0.47901395708322525,0.0
70,0.04289128404343501,0.0,0.47109830379486084,0.0
71,0.03716334491036832,0.0,0.47787296026945114,0.0
72,0.03075062925927341,0.0,0.47846464067697525,0.0
73,0.04542186832986772,0.0,0.47475558519363403,0.0
74,0.04805221495917067,0.0,0.49483722448349,0.0
75,0.05056691245408729,0.0,0.47068464756011963,0.0
76,0.03836637700442225,0.0,0.454359695315361,0.0
77,0.0391165868495591,0.0,0.44326701760292053,0.0
78,0.036459294497035444,0.0,0.4676138684153557,0.0
79,0.03738797642290592,0.0,0.46965374797582626,0.0
80,0.05023257853463292,0.0,0.47195202857255936,0.0
81,0.03613999066874385,0.0,0.4581091031432152,0.0
